date,region,type,price,rainfall,fuel_price
2020-01-05,Antananarivo,Vary Gasy,2001.0,110.67628363065998,4002.7904129220015
2020-01-12,Antananarivo,Vary Gasy,2133.0,100.86573727473191,4008.9256004358595
2020-01-19,Antananarivo,Vary Gasy,2084.0,97.58182632967612,3980.874509873064
2020-01-26,Antananarivo,Vary Gasy,2192.0,101.38215722083308,4013.642473325953
2020-02-02,Antananarivo,Vary Gasy,2144.0,84.10784545539019,4007.7052503907576
2020-02-09,Antananarivo,Vary Gasy,2246.0,120.88396055400523,4018.6092258970984
2020-02-16,Antananarivo,Vary Gasy,2225.0,155.1309983357284,4023.910340012622
2020-02-23,Antananarivo,Vary Gasy,2262.0,139.79810991397514,4013.922890710441
2020-03-01,Antananarivo,Vary Gasy,2322.0,151.1597960016023,4015.3488088607737
2020-03-08,Antananarivo,Vary Gasy,2428.0,119.48484340786311,4033.468612358691
2020-03-15,Antananarivo,Vary Gasy,2423.0,165.69170997258726,4024.909146571349
2020-03-22,Antananarivo,Vary Gasy,2371.0,140.15469670050356,4049.071222262189
2020-03-29,Antananarivo,Vary Gasy,2429.0,152.6510782145446,4047.8212279471304
2020-04-05,Antananarivo,Vary Gasy,2565.0,133.04859462325572,4042.407876241488
2020-04-12,Antananarivo,Vary Gasy,2476.0,170.9736240979709,4047.2226787872933
2020-04-19,Antananarivo,Vary Gasy,2560.0,163.66859544849254,4066.062400285708
2020-04-26,Antananarivo,Vary Gasy,2554.0,143.6517152156705,4065.7296353375577
2020-05-03,Antananarivo,Vary Gasy,2667.0,141.54593208545413,4075.14643655814
2020-05-10,Antananarivo,Vary Gasy,2626.0,137.5269203188571,4048.812495414086
2020-05-17,Antananarivo,Vary Gasy,2711.0,130.27062358759864,4070.0711257151174
2020-05-24,Antananarivo,Vary Gasy,2629.0,144.95542883667065,4067.878385782884
2020-05-31,Antananarivo,Vary Gasy,2653.0,143.37013302633028,4076.787511096597
2020-06-07,Antananarivo,Vary Gasy,2744.0,123.19057971191998,4073.9071145355542
2020-06-14,Antananarivo,Vary Gasy,2705.0,106.16937069731765,4065.864850518679
2020-06-21,Antananarivo,Vary Gasy,2531.0,115.05070952470118,4080.044835484197
2020-06-28,Antananarivo,Vary Gasy,2638.0,98.92539741690635,4091.5405085681455
2020-07-05,Antananarivo,Vary Gasy,2590.0,124.20985081151271,4090.8144919548836
2020-07-12,Antananarivo,Vary Gasy,2534.0,91.37095970914172,4119.132421124853
2020-07-19,Antananarivo,Vary Gasy,2619.0,79.16407505843085,4092.252907923866
2020-07-26,Antananarivo,Vary Gasy,2549.0,101.60643929182272,4109.019330326868
2020-08-02,Antananarivo,Vary Gasy,2503.0,101.14381197055691,4119.052053058782
2020-08-09,Antananarivo,Vary Gasy,2583.0,48.751132767594505,4102.837022703972
2020-08-16,Antananarivo,Vary Gasy,2567.0,81.5879426289095,4112.0914434574015
2020-08-23,Antananarivo,Vary Gasy,2432.0,38.944782536347134,4120.235924306352
2020-08-30,Antananarivo,Vary Gasy,2448.0,53.624146060243156,4115.117356010234
2020-09-06,Antananarivo,Vary Gasy,2341.0,70.39116304442372,4110.19135683566
2020-09-13,Antananarivo,Vary Gasy,2421.0,102.84736347602183,4122.755090421711
2020-09-20,Antananarivo,Vary Gasy,2312.0,55.90024838677695,4137.318228717773
2020-09-27,Antananarivo,Vary Gasy,2358.0,32.71309109975726,4139.176408455111
2020-10-04,Antananarivo,Vary Gasy,2326.0,55.99520081056585,4129.356485819736
2020-10-11,Antananarivo,Vary Gasy,2634.0,34.871123186166585,4139.951430553489
2020-10-18,Antananarivo,Vary Gasy,2200.0,79.31053843117789,4136.154523500525
2020-10-25,Antananarivo,Vary Gasy,2221.0,16.918748444155426,4169.733451580175
2020-11-01,Antananarivo,Vary Gasy,2193.0,63.82696356666993,4151.092812840532
2020-11-08,Antananarivo,Vary Gasy,2167.0,78.42844463353028,4167.003451479965
2020-11-15,Antananarivo,Vary Gasy,2100.0,57.564699854410385,4162.535970641448
2020-11-22,Antananarivo,Vary Gasy,2238.0,77.51164211966625,4143.167489378345
2020-11-29,Antananarivo,Vary Gasy,2154.0,86.68904006937649,4145.057704062504
2020-12-06,Antananarivo,Vary Gasy,2124.0,67.98765390844628,4166.887960001897
2020-12-13,Antananarivo,Vary Gasy,2094.0,107.50247414679129,4168.145889759292
2020-12-20,Antananarivo,Vary Gasy,2139.0,119.22739935385793,4166.447594811202
2020-12-27,Antananarivo,Vary Gasy,2163.0,106.41449740861196,4196.28924343886
2021-01-03,Antananarivo,Vary Gasy,2157.0,92.37111896961078,4174.670488649563
2021-01-10,Antananarivo,Vary Gasy,2504.0,119.98246742293722,4196.855656401806
2021-01-17,Antananarivo,Vary Gasy,2300.0,117.94774008507687,4177.474346283399
2021-01-24,Antananarivo,Vary Gasy,2245.0,110.36712850371659,4193.318741393863
2021-01-31,Antananarivo,Vary Gasy,2265.0,132.5796380313379,4191.854681946101
2021-02-07,Antananarivo,Vary Gasy,2394.0,120.98520618996764,4210.389505969673
2021-02-14,Antananarivo,Vary Gasy,2506.0,137.543936354004,4208.495763450626
2021-02-21,Antananarivo,Vary Gasy,2403.0,139.92622935161504,4199.983996523942
2021-02-28,Antananarivo,Vary Gasy,2575.0,159.0661741284739,4210.151432782599
2021-03-07,Antananarivo,Vary Gasy,2568.0,132.11496134476405,4222.024333347962
2021-03-14,Antananarivo,Vary Gasy,2547.0,180.77886042692077,4213.657529088497
2021-03-21,Antananarivo,Vary Gasy,2608.0,184.37440831920242,4224.54981710961
2021-03-28,Antananarivo,Vary Gasy,2679.0,182.89326838499758,4210.731682338641
2021-04-04,Antananarivo,Vary Gasy,2787.0,175.28220876298414,4220.423305343812
2021-04-11,Antananarivo,Vary Gasy,3169.0,164.79008856677825,4221.730695284219
2021-04-18,Antananarivo,Vary Gasy,2754.0,122.03704135976763,4233.448814952536
2021-04-25,Antananarivo,Vary Gasy,2865.0,117.27635374375704,4233.59955513303
2021-05-02,Antananarivo,Vary Gasy,2813.0,144.32728444863247,4264.979969284504
2021-05-09,Antananarivo,Vary Gasy,2776.0,149.0512126743962,4246.990596955735
2021-05-16,Antananarivo,Vary Gasy,2810.0,148.82709961953896,4249.76094827824
2021-05-23,Antananarivo,Vary Gasy,2930.0,106.68183075325473,4273.330333746562
2021-05-30,Antananarivo,Vary Gasy,2760.0,135.32304521016536,4254.415021114365
2021-06-06,Antananarivo,Vary Gasy,2874.0,108.79602660206584,4256.9187774964275
2021-06-13,Antananarivo,Vary Gasy,2833.0,103.21060874866576,4258.945113590837
